type	cv
family	1.0259581811464566
family	0.3086529874578678
family	0.5410946277007785
family	0.6784459302505259
family	0.714673760759186
family	0.4795698791726637
family	0.5934931874099887
family	0.48322696977286816
family	0.8378786920368089
family	0.6221824952863328
family	0.7144778910678957
family	2.4459394660289537
family	0.6846700367571782
family	0.9804145453321478
family	0.14043655196504412
family	0.8974610513034994
family	1.6665127467312646
family	0.5711759139747001
family	0.5049830025450381
family	0.07112951553740912
family	0.6499581548368083
family	0.5764828880137209
family	0.7363957980277243
family	0.7693547811411494
family	0.5187459404933805
family	0.22012578616352202
family	0.13128954131364898
family	0.061224489795918366
family	0.3459107094398864
family	0.8517949865681269
family	1.4043207359189616
family	0.9422545747122657
family	2.6217807420331396
family	0.03225806451612903
family	0.48301808104141736
family	0.8766407671762568
family	0.22727272727272727
family	0.4560840661750216
family	0.5908809768790786
family	0.21032993873334344
family	0.56448118077655
family	0.35135135135135137
family	1.2009961052044427
family	0.5958469353642729
family	0.38003294825452855
family	1.442902333675213
family	0.5519780735948449
family	0.8774673251169139
family	0.5102296275681473
family	0.5900564441929015
family	0.8533153478964106
family	0.6757197808427856
family	0.25255892031455285
family	1.6462499608296834
family	1.809422151108621
family	0.95625
family	1.08571759223091
family	1.3713521569951508
family	0.6720488914383325
family	1.082038297831044
family	1.6842699755742858
family	0.7435897435897436
family	0.7073170731707317
family	0.21052631578947367
family	0.7316743073065329
family	0.02138089935299395
family	0.6226964872941501
family	0.9735927793705164
family	0.9556010577749705
family	0.6302473484488793
family	0.2280747772907124
family	0.0625
family	1.3258675840763439
family	0.3176470588235294
family	1.0537597614819711
family	0.5651286288564773
family	0.08
family	1.395837086236081
family	0.6466265839896995
family	0.6070261325705696
family	2.071444924688091
family	0.5737704918032787
family	0.47904495824730337
family	0.5850923386989996
family	0.8846555271535734
family	0.6078866182441829
family	0.1724137931034483
family	1.1472774821257476
family	0.9962924717829644
family	1.2577903593926052
family	0.2727272727272727
family	0.13766058737991882
family	0.5384859649153362
family	0.5284911776086476
family	0.6312765920339938
family	0.8826942052273079
family	0.31201822366782755
family	0.22854191072684607
family	0.24962234487034168
family	0.7358626914084819
family	0.06976744186046512
family	0.3216723695225512
family	0.0277296776935901
family	0.6984728710737965
family	1.3747489776910344
family	1.1791888057500186
family	0.6844253787047472
family	0.39014823798174836
family	0.33153926211921003
family	0.267660123675409
family	0.9233585007867046
family	0.18053790157954402
family	1.0244952737851043
family	0.09316922857436725
family	0.6805916801581254
family	0.3968253968253968
family	1.329124164599333
family	0.4479386112618191
family	1.0826111675078869
family	0.673290050701363
family	0.0625
family	2.882857001144231
family	0.7414965986394558
family	0.7840502522087411
family	0.04997140305694976
family	1.998874249274535
family	0.9439775910364145
family	0.27766658431895064
family	2.1833737265518813
family	0.27835110713445205
family	0.6024702423739188
family	0.25495097567963926
family	0.3793511948399652
family	0.9938417464914839
family	0.5497680505624827
family	0.2842821248876057
family	0.43996137699855087
family	0.7409485725069084
family	0.23076923076923078
family	1.1710268011218088
family	0.6971142864107504
family	0.47040242618090855
family	0.4590684062891853
family	0.6804123711340206
family	0.2934702092293253
family	1.051594364191102
family	0.8145873690063755
family	1.0483302640666843
family	0.8499598479968898
family	0.8845444101952347
family	0.020833333333333332
family	0.193380769167093
family	0.18382074850281496
family	0.07069595132934192
family	0.36261052499292096
family	0.496374546082012
family	0.6114906639200132
family	0.7285344891097628
family	0.2459016393442623
family	0.26881720430107525
family	0.9901584359621664
family	0.5378479026173654
family	0.4906551324636902
family	0.5936053300511245
family	0.8181818181818182
family	0.827912115857032
family	1.4829878991585501
family	0.5836075464637106
family	0.5961911438566292
family	0.565685424949238
family	1.2192125408709358
family	0.14093951035189278
family	0.5623938687867516
family	1.2073658165993517
family	0.5039960635401818
family	0.6908727325265872
family	0.39391286719117913
family	0.7126644155310038
family	0.1169715005686029
family	0.14285714285714285
family	0.3333333333333333
family	0.026923069547702756
family	1.7398426745665379
family	0.06145673189778583
family	0.36611397794983963
family	0.23076923076923078
family	0.2648239405210981
family	0.3587582514635688
family	0.7727672464565093
family	0.79447053561014
family	0.6355796975271203
family	0.16162440712835371
family	0.05927841279408184
family	0.663469191108615
family	1.1488282789312245
family	0.5979628432398137
family	0.7988504688871982
family	1.0477550976555483
family	0.529046679230938
family	1.103704774894455
family	0.6340169864147963
family	1.509982369383385
family	0.6171675291337378
family	0.12035860105302937
family	0.08108108108108109
family	0.8730170166260937
family	0.1
family	0.32932788699117477
family	0.0782608695652174
family	2.158594020623805
family	0.2579603494075764
family	1.8212154382663448
family	0.4411764705882353
family	0.5164925964857873
family	0.5730231264149196
family	0.7309098871153321
family	2.065234827077527
family	0.3164293776190955
family	0.5045925450205808
family	0.5793677618811425
family	0.3125109297154904
family	0.6771540983295294
family	0.2462464864979173
family	1.7685711452202786
family	1.3752680873567058
family	1.367392886187254
family	0.6797109094425547
family	0.1473139127471974
family	0.13333333333333333
family	0.42289481834302106
family	0.45161290322580644
family	0.043478260869565216
family	1.292164777999289
family	0.7074067147530901
family	0.5
family	0.5623116071729625
family	0.435295057085044
family	0.2345207879911715
family	0.4400322742332248
family	1.2713041465997226
family	0.6815768439850594
family	0.2597943666588219
family	0.694092142510149
family	1.5396073816088514
family	0.6786081768805172
family	0.3333333333333333
family	0.7796428006721837
family	0.282842712474619
family	0.6697915157209882
family	0.6062170674335456
family	0.5254143562362941
family	0.030303030303030304
family	0.9366144841243143
family	0.7233961859311822
family	1.4867737233362142
family	0.4817512360542343
family	0.25
family	0.36016450392864285
family	0.4076768059036884
family	1.076440128607887
family	0.7281270238774034
family	0.2642172525529462
family	0.392464434172955
family	0.5907042684405727
family	1.0755598489698532
family	0.7023879390725365
family	2.353543118035025
family	0.09090909090909091
family	0.20412414523193148
family	0.6827165074290167
family	0.8438529741226175
family	0.08803676839702863
family	0.627915997717346
family	0.03759398496240601
family	0.7381515560458397
family	0.6557724894087247
family	1.012748534900192
family	0.3574355508752951
family	0.09334405549772393
family	2.6933734245323016
family	0.4046524712008807
family	1.0138790710813521
family	0.05785123966942149
family	1.7762665241376108
family	1.6970201819548203
family	0.8330481493617106
family	0.8111363309826696
family	1.2393263247785666
family	0.648229024637871
family	0.43145248624722254
family	0.9255139524476991
family	0.22969340670225077
family	1.0987690994231782
family	0.14390989949130545
family	0.033210332103321034
