type	cv
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	3
votu	1
votu	1
votu	10
votu	13
votu	1
votu	1
votu	1
votu	7
votu	3
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	4
votu	4
votu	1
votu	7
votu	2
votu	1
votu	9
votu	2
votu	1
votu	2
votu	8
votu	1
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	4
votu	13
votu	1
votu	5
votu	7
votu	2
votu	3
votu	1
votu	1
votu	6
votu	3
votu	4
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	2
votu	2
votu	2
votu	2
votu	1
votu	10
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	6
votu	1
votu	2
votu	1
votu	1
votu	6
votu	4
votu	9
votu	2
votu	1
votu	1
votu	1
votu	8
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	21
votu	5
votu	3
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	3
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	2
votu	1
votu	1
votu	4
votu	3
votu	1
votu	1
votu	3
votu	9
votu	1
votu	14
votu	2
votu	1
votu	4
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	10
votu	1
votu	4
votu	2
votu	1
votu	3
votu	1
votu	7
votu	25
votu	1
votu	2
votu	2
votu	9
votu	2
votu	1
votu	2
votu	4
votu	1
votu	2
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	3
votu	2
votu	5
votu	6
votu	1
votu	1
votu	2
votu	1
votu	4
votu	3
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	3
votu	1
votu	2
votu	1
votu	4
votu	2
votu	1
votu	1
votu	2
votu	2
votu	2
votu	2
votu	1
votu	1
votu	2
votu	2
votu	9
votu	1
votu	10
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	15
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	5
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	3
votu	2
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	4
votu	2
votu	2
votu	1
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	4
votu	5
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	6
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	2
votu	2
votu	2
votu	2
votu	1
votu	2
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	5
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	4
votu	3
votu	1
votu	1
votu	1
votu	3
votu	1
votu	3
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	4
votu	1
votu	1
votu	1
votu	3
votu	12
votu	1
votu	1
votu	3
votu	2
votu	1
votu	2
votu	3
votu	3
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	3
votu	2
votu	2
votu	1
votu	1
votu	1
votu	3
votu	3
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	2
votu	2
votu	3
votu	2
votu	4
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	5
votu	1
votu	1
votu	1
votu	1
votu	1
votu	14
votu	1
votu	2
votu	2
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	3
votu	4
votu	1
votu	2
votu	1
votu	1
votu	10
votu	7
votu	1
votu	4
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	5
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	2
votu	2
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	18
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	8
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	5
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	4
votu	4
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	5
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	5
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	3
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	5
votu	2
votu	2
votu	1
votu	2
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	4
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	3
votu	4
votu	1
votu	3
votu	1
votu	1
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	2
votu	1
votu	7
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	3
votu	1
votu	1
votu	1
votu	1
votu	8
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	13
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	5
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	5
votu	2
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	5
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	5
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	3
votu	1
votu	2
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	2
votu	3
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	3
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	4
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	4
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	3
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	7
votu	1
votu	4
