sample_size	sample_times	vcs
156000	9	845
160000	0	859
160000	1	845
160000	2	861
160000	3	841
160000	4	850
160000	5	841
160000	6	843
160000	7	846
160000	8	858
160000	9	823
164000	0	855
164000	1	868
164000	2	850
164000	3	881
164000	4	841
164000	5	851
164000	6	851
164000	7	875
164000	8	838
164000	9	869
168000	0	851
168000	1	851
168000	2	893
168000	3	875
168000	4	874
168000	5	862
168000	6	863
168000	7	846
168000	8	871
168000	9	861
172000	0	883
172000	1	852
172000	2	874
172000	3	864
172000	4	870
172000	5	864
172000	6	881
172000	7	853
172000	8	838
172000	9	860
176000	0	879
176000	1	899
176000	2	882
176000	3	865
176000	4	855
176000	5	906
176000	6	880
176000	7	891
176000	8	868
176000	9	880
180000	0	860
180000	1	877
180000	2	867
180000	3	859
180000	4	881
180000	5	885
180000	6	892
180000	7	885
180000	8	885
180000	9	902
184000	0	893
184000	1	889
184000	2	882
184000	3	892
184000	4	879
184000	5	899
184000	6	886
184000	7	906
184000	8	891
184000	9	904
188000	0	889
188000	1	902
188000	2	891
188000	3	921
188000	4	862
188000	5	913
188000	6	902
188000	7	884
188000	8	900
188000	9	933
192000	0	907
192000	1	910
192000	2	912
192000	3	896
192000	4	903
192000	5	891
192000	6	876
192000	7	911
192000	8	888
192000	9	916
196000	0	913
196000	1	905
196000	2	913
196000	3	927
196000	4	927
196000	5	931
196000	6	927
196000	7	898
196000	8	897
196000	9	903
200000	0	935
200000	1	920
200000	2	932
200000	3	920
200000	4	920
200000	5	917
200000	6	942
200000	7	921
200000	8	914
200000	9	915
204000	0	923
204000	1	921
204000	2	928
204000	3	935
204000	4	937
204000	5	909
204000	6	921
204000	7	925
204000	8	929
204000	9	941
208000	0	935
208000	1	953
208000	2	918
208000	3	953
208000	4	930
208000	5	929
208000	6	926
208000	7	921
208000	8	943
208000	9	919
212000	0	942
212000	1	934
212000	2	941
212000	3	944
212000	4	931
212000	5	956
212000	6	970
212000	7	946
212000	8	951
212000	9	950
216000	0	952
216000	1	934
216000	2	960
216000	3	939
216000	4	940
216000	5	935
216000	6	950
216000	7	946
216000	8	941
216000	9	934
220000	0	957
220000	1	964
220000	2	963
220000	3	962
220000	4	970
220000	5	955
220000	6	947
220000	7	943
220000	8	947
220000	9	933
224000	0	953
224000	1	957
224000	2	955
224000	3	976
224000	4	954
224000	5	950
224000	6	980
224000	7	963
224000	8	955
224000	9	952
228000	0	971
228000	1	986
228000	2	968
228000	3	956
228000	4	985
228000	5	992
228000	6	983
228000	7	980
228000	8	982
228000	9	986
232000	0	964
232000	1	965
232000	2	978
232000	3	990
232000	4	990
232000	5	971
232000	6	980
232000	7	989
232000	8	966
232000	9	996
236000	0	965
236000	1	985
236000	2	980
236000	3	970
236000	4	992
236000	5	954
236000	6	975
236000	7	979
236000	8	983
236000	9	961
240000	0	997
240000	1	978
240000	2	1000
240000	3	1001
240000	4	989
240000	5	986
240000	6	993
240000	7	978
240000	8	1003
240000	9	986
244000	0	992
244000	1	1006
244000	2	967
244000	3	983
244000	4	1002
244000	5	1002
244000	6	1006
244000	7	1013
244000	8	1018
244000	9	1000
248000	0	1011
248000	1	991
248000	2	988
248000	3	1009
248000	4	1005
248000	5	997
248000	6	996
248000	7	1005
248000	8	1002
248000	9	993
252000	0	1026
252000	1	1001
252000	2	1017
252000	3	1001
252000	4	1008
252000	5	1006
252000	6	1002
252000	7	996
252000	8	1025
252000	9	996
256000	0	1018
256000	1	1015
256000	2	1011
256000	3	999
256000	4	1005
256000	5	1011
256000	6	1007
256000	7	1014
256000	8	1008
256000	9	1020
260000	0	1031
260000	1	1019
260000	2	1019
260000	3	1021
260000	4	1013
260000	5	1014
260000	6	1025
260000	7	1022
260000	8	1004
260000	9	1014
264000	0	1020
264000	1	1028
264000	2	1041
264000	3	1034
264000	4	1031
264000	5	1018
264000	6	1016
264000	7	1033
264000	8	1004
264000	9	1003
268000	0	1052
268000	1	1053
268000	2	1011
268000	3	1019
268000	4	1017
268000	5	1020
268000	6	1029
268000	7	1029
268000	8	1023
268000	9	1032
272000	0	1044
272000	1	1032
272000	2	1015
272000	3	1026
272000	4	1051
272000	5	1047
272000	6	1056
272000	7	1028
272000	8	1041
272000	9	1044
276000	0	1028
276000	1	1050
276000	2	1037
276000	3	1037
276000	4	1024
276000	5	1045
276000	6	1022
276000	7	1059
276000	8	1048
276000	9	1045
280000	0	1038
280000	1	1032
280000	2	1062
280000	3	1040
280000	4	1052
280000	5	1041
280000	6	1047
280000	7	1057
280000	8	1067
280000	9	1049
284000	0	1068
284000	1	1069
284000	2	1067
284000	3	1060
284000	4	1045
284000	5	1043
284000	6	1082
284000	7	1074
284000	8	1069
284000	9	1052
288000	0	1075
288000	1	1071
288000	2	1069
288000	3	1055
288000	4	1052
288000	5	1058
288000	6	1035
288000	7	1067
288000	8	1069
288000	9	1066
292000	0	1061
292000	1	1078
292000	2	1060
292000	3	1077
292000	4	1087
292000	5	1064
292000	6	1077
292000	7	1055
292000	8	1070
292000	9	1055
296000	0	1075
296000	1	1071
296000	2	1057
296000	3	1099
296000	4	1068
296000	5	1064
296000	6	1062
296000	7	1068
296000	8	1081
296000	9	1086
300000	0	1080
300000	1	1084
300000	2	1078
300000	3	1082
300000	4	1078
300000	5	1083
300000	6	1109
300000	7	1074
300000	8	1067
300000	9	1078
304000	0	1094
304000	1	1071
304000	2	1073
304000	3	1070
304000	4	1090
304000	5	1078
304000	6	1090
304000	7	1082
304000	8	1080
304000	9	1072
308000	0	1107
308000	1	1098
308000	2	1072
308000	3	1098
308000	4	1077
308000	5	1096
308000	6	1094
308000	7	1089
308000	8	1098
308000	9	1095
312000	0	1089
312000	1	1095
312000	2	1087
312000	3	1097
312000	4	1091
312000	5	1078
312000	6	1087
312000	7	1096
312000	8	1105
312000	9	1094
316000	0	1114
316000	1	1113
316000	2	1104
316000	3	1102
316000	4	1106
316000	5	1108
316000	6	1090
316000	7	1086
316000	8	1100
316000	9	1102
320000	0	1093
320000	1	1108
320000	2	1106
320000	3	1122
320000	4	1126
320000	5	1111
320000	6	1112
320000	7	1118
320000	8	1127
320000	9	1107
324000	0	1136
324000	1	1108
324000	2	1107
324000	3	1092
324000	4	1122
324000	5	1136
324000	6	1121
324000	7	1119
324000	8	1126
324000	9	1100
328000	0	1117
328000	1	1128
328000	2	1125
328000	3	1112
328000	4	1100
328000	5	1102
328000	6	1114
328000	7	1111
