sample_size	sample_times	vcs
140000	0	46435
140000	1	46593
140000	2	46663
140000	3	46760
140000	4	46770
140000	5	46673
140000	6	46783
140000	7	46606
140000	8	46668
140000	9	46382
144000	0	47755
144000	1	47720
144000	2	47716
144000	3	47270
144000	4	47850
144000	5	47612
144000	6	47536
144000	7	47396
144000	8	47572
144000	9	47622
148000	0	48810
148000	1	48697
148000	2	48877
148000	3	48674
148000	4	48350
148000	5	48514
148000	6	48588
148000	7	48552
148000	8	48446
148000	9	48522
152000	0	49389
152000	1	49668
152000	2	49362
152000	3	49548
152000	4	49637
152000	5	49579
152000	6	49395
152000	7	49815
152000	8	49687
152000	9	49460
156000	0	50295
156000	1	50341
156000	2	50436
156000	3	50485
156000	4	50524
156000	5	50431
156000	6	50487
156000	7	50311
156000	8	50364
156000	9	50229
160000	0	51410
160000	1	51530
160000	2	51460
160000	3	51514
160000	4	51358
160000	5	51286
160000	6	51500
160000	7	51508
160000	8	51459
160000	9	51487
164000	0	52273
164000	1	52298
164000	2	52480
164000	3	52201
164000	4	52455
164000	5	52314
164000	6	52162
164000	7	52365
164000	8	52205
164000	9	52080
168000	0	53103
168000	1	53405
168000	2	53220
168000	3	53334
168000	4	53125
168000	5	53160
168000	6	53085
168000	7	53020
168000	8	53025
168000	9	53081
172000	0	54087
172000	1	54139
172000	2	54047
172000	3	54016
172000	4	54119
172000	5	54028
172000	6	54052
172000	7	54131
172000	8	54154
172000	9	54239
176000	0	55101
176000	1	55093
176000	2	55113
176000	3	55094
176000	4	55156
176000	5	54992
176000	6	55183
176000	7	55334
176000	8	54887
176000	9	55063
180000	0	55885
180000	1	55845
180000	2	55825
180000	3	56056
180000	4	55700
180000	5	55835
180000	6	55898
180000	7	56073
180000	8	55897
180000	9	55833
184000	0	56832
184000	1	56844
184000	2	56874
184000	3	56578
184000	4	56757
184000	5	56582
184000	6	56880
184000	7	56844
184000	8	56690
184000	9	56881
188000	0	57372
188000	1	57659
188000	2	57756
188000	3	57513
188000	4	57629
188000	5	57673
188000	6	57743
188000	7	57832
188000	8	57597
188000	9	57817
192000	0	58628
192000	1	58640
192000	2	58399
192000	3	58512
192000	4	58519
192000	5	58719
192000	6	58535
192000	7	58615
192000	8	58591
192000	9	58492
196000	0	59304
196000	1	59304
196000	2	59320
196000	3	59414
196000	4	59488
196000	5	59333
196000	6	59293
196000	7	59230
196000	8	59104
196000	9	59298
200000	0	60326
200000	1	60251
200000	2	60219
200000	3	60354
200000	4	60274
200000	5	60129
200000	6	60002
200000	7	60246
200000	8	60054
200000	9	60133
204000	0	60968
204000	1	61199
204000	2	61078
204000	3	61081
204000	4	61081
204000	5	61320
204000	6	60942
204000	7	60955
204000	8	61384
204000	9	61279
208000	0	61960
208000	1	62028
208000	2	61843
208000	3	62010
208000	4	61955
208000	5	62151
208000	6	62048
208000	7	62044
208000	8	61656
208000	9	61915
212000	0	62824
212000	1	62397
212000	2	62868
212000	3	62841
212000	4	62869
212000	5	62948
212000	6	62770
212000	7	62917
212000	8	62824
212000	9	62667
216000	0	63688
216000	1	63573
216000	2	63638
216000	3	63550
216000	4	63563
216000	5	63677
216000	6	63898
216000	7	63796
216000	8	63932
216000	9	63508
220000	0	64282
220000	1	64390
220000	2	64429
220000	3	64275
220000	4	64215
220000	5	64536
220000	6	64422
220000	7	64352
220000	8	64512
220000	9	64361
224000	0	65332
224000	1	65335
224000	2	65353
224000	3	65166
224000	4	65392
224000	5	65338
224000	6	65318
224000	7	65273
224000	8	65493
224000	9	65278
228000	0	65807
228000	1	66180
228000	2	66257
228000	3	66176
228000	4	66242
228000	5	66201
228000	6	66082
228000	7	66450
228000	8	66040
228000	9	65956
232000	0	66613
232000	1	66971
232000	2	67021
232000	3	66819
232000	4	66898
232000	5	67101
232000	6	66931
232000	7	67093
232000	8	66815
232000	9	66793
236000	0	67951
236000	1	67525
236000	2	67588
236000	3	67847
236000	4	67737
236000	5	67807
236000	6	67693
236000	7	67803
236000	8	67870
236000	9	67772
240000	0	68161
240000	1	68363
240000	2	68605
240000	3	68727
240000	4	68552
240000	5	68531
240000	6	68494
240000	7	68559
240000	8	68282
240000	9	68387
244000	0	69159
244000	1	69167
244000	2	69335
244000	3	69142
244000	4	69502
244000	5	69216
244000	6	69385
244000	7	69205
244000	8	69320
244000	9	69405
248000	0	70213
248000	1	70102
248000	2	69982
248000	3	70029
248000	4	70098
248000	5	70155
248000	6	70273
248000	7	69940
248000	8	70044
248000	9	70369
252000	0	70946
252000	1	71000
252000	2	70876
252000	3	70988
252000	4	71011
252000	5	70996
252000	6	70791
252000	7	70978
252000	8	70764
252000	9	70775
256000	0	71577
256000	1	71746
256000	2	71852
256000	3	71819
256000	4	71654
256000	5	71573
256000	6	71461
256000	7	71753
256000	8	71683
256000	9	71588
260000	0	72552
260000	1	72425
260000	2	72423
260000	3	72534
260000	4	72538
260000	5	72566
260000	6	72420
260000	7	72568
