sample_size	sample_times	vcs
140000	2	5065
140000	3	4992
140000	4	5044
140000	5	5045
140000	6	5087
140000	7	5047
140000	8	5023
140000	9	5040
144000	0	5062
144000	1	5120
144000	2	5078
144000	3	5110
144000	4	5158
144000	5	5145
144000	6	5149
144000	7	5122
144000	8	5088
144000	9	5115
148000	0	5137
148000	1	5114
148000	2	5233
148000	3	5185
148000	4	5168
148000	5	5188
148000	6	5159
148000	7	5227
148000	8	5187
148000	9	5158
152000	0	5137
152000	1	5255
152000	2	5222
152000	3	5208
152000	4	5262
152000	5	5225
152000	6	5246
152000	7	5199
152000	8	5248
152000	9	5260
156000	0	5318
156000	1	5319
156000	2	5272
156000	3	5328
156000	4	5239
156000	5	5297
156000	6	5260
156000	7	5308
156000	8	5306
156000	9	5290
160000	0	5414
160000	1	5352
160000	2	5384
160000	3	5373
160000	4	5354
160000	5	5391
160000	6	5361
160000	7	5341
160000	8	5366
160000	9	5316
164000	0	5425
164000	1	5457
164000	2	5428
164000	3	5371
164000	4	5439
164000	5	5408
164000	6	5434
164000	7	5312
164000	8	5389
164000	9	5424
168000	0	5479
168000	1	5467
168000	2	5410
168000	3	5467
168000	4	5489
168000	5	5564
168000	6	5469
168000	7	5427
168000	8	5455
168000	9	5432
172000	0	5551
172000	1	5559
172000	2	5514
172000	3	5489
172000	4	5522
172000	5	5540
172000	6	5504
172000	7	5508
172000	8	5536
172000	9	5528
176000	0	5591
176000	1	5608
176000	2	5605
176000	3	5597
176000	4	5581
176000	5	5539
176000	6	5569
176000	7	5560
176000	8	5602
176000	9	5624
180000	0	5608
180000	1	5611
180000	2	5636
180000	3	5682
180000	4	5586
180000	5	5569
180000	6	5673
180000	7	5545
180000	8	5606
180000	9	5605
184000	0	5657
184000	1	5701
184000	2	5678
184000	3	5675
184000	4	5649
184000	5	5680
184000	6	5662
184000	7	5713
184000	8	5637
184000	9	5683
188000	0	5746
188000	1	5722
188000	2	5663
188000	3	5720
188000	4	5743
188000	5	5684
188000	6	5780
188000	7	5757
188000	8	5801
188000	9	5750
192000	0	5724
192000	1	5737
192000	2	5761
192000	3	5805
192000	4	5812
192000	5	5761
192000	6	5767
192000	7	5731
192000	8	5799
192000	9	5823
196000	0	5835
196000	1	5831
196000	2	5813
196000	3	5786
196000	4	5831
196000	5	5864
196000	6	5854
196000	7	5874
196000	8	5830
196000	9	5870
200000	0	5879
200000	1	5923
200000	2	5839
200000	3	5919
200000	4	5857
200000	5	5913
200000	6	5845
200000	7	5913
200000	8	5848
200000	9	5900
204000	0	5909
204000	1	5898
204000	2	5934
204000	3	5886
204000	4	5955
204000	5	5952
204000	6	5969
204000	7	5905
204000	8	5892
204000	9	5886
208000	0	5925
208000	1	5982
208000	2	6010
208000	3	6033
208000	4	6031
208000	5	5958
208000	6	5953
208000	7	5965
208000	8	5950
208000	9	6014
212000	0	5966
212000	1	6015
212000	2	6043
212000	3	6028
212000	4	5987
212000	5	5999
212000	6	5979
212000	7	5953
212000	8	5987
212000	9	6028
216000	0	6087
216000	1	6046
216000	2	6082
216000	3	6068
216000	4	6060
216000	5	6045
216000	6	6082
216000	7	6045
216000	8	6067
216000	9	6101
220000	0	6122
220000	1	6080
220000	2	6133
220000	3	6165
220000	4	6113
220000	5	6126
220000	6	6087
220000	7	6076
220000	8	6138
220000	9	6092
224000	0	6131
224000	1	6148
224000	2	6145
224000	3	6149
224000	4	6146
224000	5	6171
224000	6	6161
224000	7	6159
224000	8	6184
224000	9	6177
228000	0	6195
228000	1	6215
228000	2	6118
228000	3	6195
228000	4	6126
228000	5	6203
228000	6	6167
228000	7	6182
228000	8	6207
228000	9	6175
232000	0	6214
232000	1	6228
232000	2	6278
232000	3	6282
232000	4	6279
232000	5	6241
232000	6	6207
232000	7	6255
232000	8	6218
232000	9	6244
236000	0	6240
236000	1	6291
236000	2	6273
236000	3	6258
236000	4	6276
236000	5	6265
236000	6	6225
236000	7	6266
236000	8	6286
236000	9	6344
240000	0	6291
240000	1	6335
240000	2	6309
240000	3	6327
240000	4	6374
240000	5	6338
240000	6	6308
240000	7	6320
240000	8	6328
240000	9	6342
244000	0	6362
244000	1	6351
244000	2	6368
244000	3	6383
244000	4	6418
244000	5	6378
244000	6	6370
244000	7	6376
244000	8	6326
244000	9	6303
248000	0	6387
248000	1	6437
248000	2	6381
248000	3	6405
248000	4	6421
248000	5	6446
248000	6	6434
248000	7	6423
248000	8	6442
248000	9	6414
252000	0	6424
252000	1	6451
252000	2	6467
252000	3	6478
252000	4	6484
252000	5	6435
252000	6	6451
252000	7	6447
252000	8	6380
252000	9	6445
256000	0	6500
256000	1	6514
256000	2	6537
256000	3	6477
256000	4	6476
256000	5	6546
256000	6	6497
256000	7	6494
256000	8	6516
256000	9	6530
260000	0	6515
260000	1	6525
260000	2	6550
260000	3	6547
260000	4	6513
260000	5	6566
260000	6	6522
260000	7	6618
260000	8	6536
260000	9	6576
264000	0	6540
264000	1	6561
264000	2	6588
264000	3	6551
264000	4	6560
264000	5	6580
264000	6	6600
264000	7	6580
264000	8	6581
264000	9	6563
268000	0	6614
268000	1	6622
268000	2	6587
268000	3	6598
268000	4	6611
268000	5	6605
268000	6	6657
268000	7	6636
268000	8	6640
268000	9	6636
272000	0	6655
272000	1	6671
272000	2	6624
272000	3	6648
272000	4	6695
272000	5	6649
272000	6	6703
272000	7	6668
272000	8	6650
272000	9	6627
276000	0	6682
276000	1	6645
276000	2	6701
276000	3	6631
276000	4	6720
276000	5	6730
276000	6	6727
276000	7	6695
276000	8	6709
276000	9	6670
280000	0	6711
280000	1	6682
280000	2	6710
280000	3	6753
280000	4	6770
280000	5	6740
280000	6	6741
280000	7	6718
280000	8	6775
280000	9	6746
284000	0	6804
284000	1	6823
284000	2	6815
284000	3	6809
284000	4	6798
284000	5	6742
284000	6	6785
284000	7	6737
284000	8	6750
284000	9	6809
288000	0	6827
288000	1	6865
288000	2	6820
288000	3	6852
288000	4	6805
288000	5	6805
288000	6	6833
288000	7	6793
288000	8	6802
288000	9	6813
292000	0	6844
292000	1	6875
292000	2	6829
292000	3	6798
292000	4	6864
292000	5	6793
292000	6	6848
292000	7	6858
292000	8	6809
292000	9	6824
296000	0	6860
296000	1	6875
296000	2	6875
296000	3	6896
296000	4	6889
296000	5	6896
296000	6	6934
296000	7	6857
296000	8	6858
296000	9	6903
300000	0	6906
300000	1	6894
300000	2	6934
300000	3	6949
300000	4	6883
300000	5	6889
300000	6	6906
300000	7	6898
300000	8	6879
300000	9	6887
304000	0	6963
304000	1	6935
304000	2	6976
304000	3	6980
304000	4	7008
304000	5	6965
304000	6	6939
304000	7	6944
304000	8	6966
304000	9	6969
308000	0	6996
308000	1	6965
308000	2	7004
308000	3	6999
308000	4	6974
308000	5	6944
308000	6	6973
308000	7	6964
308000	8	6956
308000	9	6994
312000	0	7021
312000	1	7054
312000	2	7057
312000	3	7023
312000	4	7014
312000	5	6997
312000	6	7015
312000	7	7002
312000	8	7016
312000	9	7039
316000	0	7033
316000	1	7114
316000	2	7088
316000	3	7098
316000	4	7002
316000	5	7047
316000	6	7064
316000	7	7047
316000	8	7089
316000	9	7103
320000	0	7103
320000	1	7083
320000	2	7102
320000	3	7057
320000	4	7087
320000	5	7116
320000	6	7094
320000	7	7080
320000	8	7134
320000	9	7113
324000	0	7147
324000	1	7118
324000	2	7170
324000	3	7153
324000	4	7127
324000	5	7121
324000	6	7142
324000	7	7125
324000	8	7165
324000	9	7156
328000	0	7140
328000	1	7154
328000	2	7187
328000	3	7123
328000	4	7139
328000	5	7168
328000	6	7187
328000	7	7186
328000	8	7208
328000	9	7168
332000	0	7233
332000	1	7201
332000	2	7227
332000	3	7223
332000	4	7194
332000	5	7204
332000	6	7203
332000	7	7226
332000	8	7248
332000	9	7174
336000	0	7229
336000	1	7249
336000	2	7257
336000	3	7247
336000	4	7244
336000	5	7253
336000	6	7218
336000	7	7215
336000	8	7235
336000	9	7199
340000	0	7220
340000	1	7284
340000	2	7224
340000	3	7277
340000	4	7287
340000	5	7302
340000	6	7287
340000	7	7254
340000	8	7276
340000	9	7256
344000	0	7266
344000	1	7321
344000	2	7293
344000	3	7314
344000	4	7285
344000	5	7322
344000	6	7272
344000	7	7252
344000	8	7272
344000	9	7299
348000	0	7377
348000	1	7354
348000	2	7341
348000	3	7299
348000	4	7370
348000	5	7351
348000	6	7332
348000	7	7373
348000	8	7387
348000	9	7336
352000	0	7394
352000	1	7340
352000	2	7354
352000	3	7394
352000	4	7375
352000	5	7425
