type	location
VFG	0.47058823529411764
VFG	0.9714285714285714
VFG	0.9714285714285714
VFG	0.06896551724137931
VFG	0.06451612903225806
VFG	0.12987012987012986
VFG	0.8846153846153846
VFG	0.7931034482758621
VFG	0.7142857142857143
VFG	0.6
VFG	0.7380952380952381
VFG	0.7380952380952381
VFG	0.16666666666666666
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.13333333333333333
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9333333333333333
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.16666666666666666
VFG	0.8571428571428571
VFG	0.125
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.17647058823529413
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9333333333333333
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.95
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.2
VFG	0.9230769230769231
VFG	0.21428571428571427
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9333333333333333
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9285714285714286
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.13333333333333333
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9285714285714286
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.14285714285714285
VFG	0.21428571428571427
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.9230769230769231
VFG	0.15384615384615385
VFG	0.14285714285714285
VFG	0.15384615384615385
VFG	0.15384615384615385
VFG	0.9230769230769231
