Genome	type
NZ_AP024572.1__4170000-4180000_4168505-4168574-4176145-4176213-100-100-70	DP
NZ_AP024576.1__4170000-4180000_4172872-4172941-4180512-4180580-100-100-70	DP
NZ_AP024579.1__4270000-4280000_4270921-4270990-4278561-4278629-100-100-70	DP
NZ_AP026680.1__1895000-1915000_1889080-1889167-1915619-1915706-100-100-88	DP
NZ_BFGE01000035.1__55000-65000_53933-53940-65412-65419-100-100-8	DP
NZ_BGAG01000100.1__105000-120000_106540-106552-117797-117809-100-100-13	DP
NZ_BIAY01000029.1__635000-650000_633099-633159-657927-657989-100-100-61	DP
NZ_BOSD01000001.1__330000-455000_334202-334248-454127-454173-100-100-47	DP
NZ_BOST01000001.1__15000-30000_5374-5461-31913-32000-100-100-88	DP
NZ_BOTR01000007.1__235000-255000_233278-233365-259817-259904-100-100-88	DP
NZ_BOTU01000001.1__0-25000_3431-3458-24704-24731-100-100-28	DP
NZ_BOTU01000009.1__190000-200000_187394-187448-201370-201424-100-100-55	DP
NZ_BOTW01000008.1__235000-255000_233392-233479-259931-260018-100-100-88	DP
NZ_BOTY01000001.1__0-25000_3422-3449-24695-24722-100-100-28	DP
NZ_BOUA01000009.1__20000-30000_17726-17780-31701-31755-100-100-55	DP
NZ_BOUB01000001.1__10000-35000_5366-5453-31905-31992-100-100-88	DP
NZ_CAXTET010000001.1__990000-1005000_987253-987266-1008661-1008674-100-100-14	DP
NZ_CAXUCN010000001.1__2645000-2660000_2636089-2636102-2659679-2659692-100-100-14	DP
NZ_CAXYHV010000011.1__535000-590000_549218-549222-577250-577254-100-100-5	DP
NZ_CGPX01000006.1__210000-235000_210262-210285-232820-232843-100-100-24	DP
NZ_CGQT01000001.1__255000-275000_256081-256109-279262-279290-100-100-29	DP
NZ_CJLZ01000007.1__5000-20000_3420-3448-26601-26629-100-100-29	DP
NZ_CP006659.2__1965000-1995000_1966111-1966125-1994655-1994669-100-100-15	DP
NZ_CP007466.1__2065000-2090000_2060190-2060218-2087632-2087660-100-100-29	DP
NZ_CP018482.1__955000-975000_956454-956494-971556-971596-100-100-41	DP
NZ_CP018496.1__955000-975000_955718-955758-970830-970870-100-100-41	DP
NZ_CP018528.1__955000-975000_956369-956409-971471-971511-100-100-41	DP
NZ_CP018552.1__955000-975000_956489-956529-971603-971643-100-100-41	DP
NZ_CP018554.1__955000-975000_956603-956643-971705-971745-100-100-41	DP
NZ_CP018560.1__955000-975000_956587-956627-971689-971729-100-100-41	DP
NZ_CP018568.1__955000-975000_956492-956532-971594-971634-100-100-41	DP
NZ_CP020498.1__1790000-1815000_1792880-1792911-1820342-1820372-100-100-32	DP
NZ_CP020823.1__1865000-1890000_1866111-1866139-1893564-1893592-100-100-29	DP
NZ_CP026167.1__4270000-4295000_4270207-4270228-4298180-4298201-100-100-22	DP
NZ_CP026167.1__4270000-4300000_4270207-4270228-4298180-4298201-100-100-22	DP
NZ_CP026235.1__2970000-3010000_2972927-2972960-3005487-3005520-100-100-34	DP
NZ_CP041144.1__490000-545000_492046-492057-541241-541252-100-100-12	DP
NZ_CP070087.1__3680000-3705000_3680221-3680252-3707683-3707713-100-100-32	DP
NZ_CP083461.2__4465000-4480000_4467703-4467725-4481048-4481070-100-100-23	DP
NZ_CP083616.1__1665000-1695000_1659839-1659843-1691025-1691029-100-100-5	DP
NZ_CP083616.1__330000-365000_330257-330262-362750-362755-100-100-6	DP
NZ_CP104398.1__655000-675000_660906-660929-670305-670328-100-100-24	DP
NZ_CP136360.1__540000-590000_542844-542971-590259-590387-100-100-128	DP
NZ_CP138487.1__2740000-2765000_2739836-2739849-2770129-2770142-100-100-14	DP
NZ_FLXT01000017.1__65000-105000_66140-66163-101374-101397-100-100-24	DP
NZ_FRYQ01000003.1__310000-325000_310851-310886-323165-323201-100-100-36	DP
NZ_FSAE01000004.1__310000-325000_312908-312943-324331-324367-100-100-36	DP
NZ_FSAF01000003.1__330000-350000_333778-333813-345201-345237-100-100-36	DP
NZ_FSCA01000003.1__285000-295000_285276-285312-297615-297650-100-100-37	DP
NZ_FVEA01000002.1__310000-325000_312946-312981-324369-324405-100-100-36	DP
NZ_FVKI01000004.1__310000-325000_310821-310856-322244-322280-100-100-36	DP
NZ_GG773033.1__65000-85000_61198-61211-83706-83719-100-100-14	DP
NZ_GG774357.1__90000-105000_87857-87870-110368-110381-100-100-14	DP
NZ_GG774468.1__110000-125000_110216-110228-121977-121989-100-100-13	DP
NZ_JAARPT010000002.1__235000-285000_237697-237705-269538-269546-100-100-9	DP
NZ_JAARVE010000006.1__80000-185000_85701-85832-183432-183574-100-100-132	DP
NZ_JADVGW010000001.1__760000-790000_759929-759943-787346-787360-100-100-15	DP
NZ_JADVIE010000002.1__435000-445000_438926-439000-452469-452542-100-100-75	DP
NZ_JADVIS010000002.1__40000-60000_39014-39028-58870-58884-100-100-15	DP
NZ_JADVNP010000008.1__105000-125000_107474-107487-124362-124375-100-100-14	DP
NZ_JADYTM010000005.1__180000-195000_183291-183306-194469-194484-100-100-16	DP
NZ_JAFFQV010000001.1__4355000-4380000_4356593-4356609-4382019-4382035-100-100-17	DP
NZ_JAIQVX010000003.1__185000-220000_185661-185709-207246-207294-100-100-49	DP
NZ_JAOPIK010000011.1__245000-265000_240024-240037-262089-262102-100-100-14	DP
NZ_JAUJQB010000011.1__20000-60000_19649-19660-59768-59779-100-100-12	DP
NZ_JAWXSK010000012.1__25000-85000_25094-25098-84267-84271-100-100-5	DP
NZ_JAWXSM010000013.1__15000-50000_16511-16517-48246-48252-100-100-7	DP
NZ_JAZHCX010000002.1__1145000-1155000_1141828-1141832-1159867-1159871-100-100-5	DP
NZ_JBBOCD010000001.1__6245000-6255000_6242941-6242947-6255603-6255609-100-100-7	DP
NZ_JSPR01000058.1__65000-75000_62311-62324-84819-84832-100-100-14	DP
NZ_JSRQ01000028.1__75000-85000_72560-72573-92963-92976-100-100-14	DP
NZ_KB891357.1__255000-280000_259047-259107-268535-268594-100-100-61	DP
NZ_KI911783.1__1005000-1030000_1005340-1005404-1034353-1034418-100-100-65	DP
NZ_KK036995.1__2395000-2425000_2396788-2396818-2424249-2424280-100-100-31	DP
NZ_KK037013.1__2565000-2595000_2565406-2565437-2592868-2592898-100-100-32	DP
NZ_KK736587.1__1200000-1225000_1196863-1196893-1224324-1224355-100-100-31	DP
NZ_KK736624.1__1205000-1225000_1201382-1201412-1228843-1228874-100-100-31	DP
NZ_KK736639.1__1200000-1225000_1198864-1198894-1226325-1226356-100-100-31	DP
NZ_KK736984.1__2545000-2570000_2544445-2544475-2571906-2571937-100-100-31	DP
NZ_KK737611.1__1040000-1060000_1037608-1037638-1065070-1065101-100-100-31	DP
NZ_LGQC01000003.1__110000-135000_107883-107913-135344-135375-100-100-31	DP
NZ_LGQD01000032.1__190000-220000_191998-192028-219459-219490-100-100-31	DP
NZ_LGQH01000057.1__175000-185000_171411-171436-184127-184151-100-100-26	DP
NZ_LNPC01000001.1__3060000-3070000_3054718-3054723-3069139-3069144-100-100-6	DP
NZ_LRRE01000071.1__190000-220000_191386-191416-218847-218878-100-100-31	DP
NZ_LUGB01000045.1__5000-15000_4875-4903-13587-13615-100-100-29	DP
NZ_LXMZ01000009.1__20000-50000_18978-19009-46440-46470-100-100-32	DP
NZ_MXWJ01000008.1__130000-140000_129485-129539-143440-143494-100-100-55	DP
NZ_MYTC01000006.1__50000-70000_46007-46035-72480-72508-100-100-29	DP
NZ_NGSX01000001.1__60000-75000_65191-65259-72830-72899-100-100-69	DP
NZ_NGTG01000001.1__315000-325000_315976-316044-323615-323684-100-100-69	DP
NZ_NGUB02000001.1__2405000-2435000_2406898-2406929-2434360-2434390-100-100-32	DP
NZ_NHZJ01000001.1__425000-445000_415944-415957-445620-445633-100-100-14	DP
NZ_NITH01000018.1__25000-35000_24977-25014-31684-31721-100-100-38	DP
NZ_OX291724.1__210000-240000_209135-209165-239170-239201-100-100-31	DP
NZ_PQLH01000007.1__65000-100000_64774-64807-97334-97367-100-100-34	DP
NZ_PQUE01000010.1__15000-50000_18882-18913-46344-46374-100-100-32	DP
NZ_RRGQ01000002.1__280000-295000_284090-284102-295057-295069-100-100-13	DP
NZ_WIGH01000003.1__200000-210000_197177-197181-209637-209641-100-100-5	DP
