Genome	type
BDP_190219	BDP
BDP_190525	BDP
BDP_191078	BDP
BDP_191145	BDP
BDP_191176	BDP
BDP_191840	BDP
BDP_192068	BDP
BDP_192264	BDP
BDP_193107	BDP
BDP_19311	BDP
BDP_193673	BDP
BDP_193877	BDP
BDP_19428	BDP
BDP_195313	BDP
BDP_195430	BDP
BDP_195501	BDP
BDP_195502	BDP
BDP_195691	BDP
BDP_19613	BDP
BDP_196833	BDP
BDP_196836	BDP
BDP_197270	BDP
BDP_197348	BDP
BDP_197601	BDP
BDP_197739	BDP
BDP_197795	BDP
BDP_198496	BDP
BDP_198605	BDP
BDP_199604	BDP
BDP_199920	BDP
BDP_20012	BDP
BDP_200161	BDP
BDP_200242	BDP
BDP_201341	BDP
BDP_202063	BDP
BDP_202081	BDP
BDP_202179	BDP
BDP_202466	BDP
BDP_202825	BDP
BDP_203089	BDP
BDP_203090	BDP
BDP_203192	BDP
BDP_203379	BDP
BDP_203612	BDP
BDP_204220	BDP
BDP_204240	BDP
BDP_204460	BDP
BDP_204565	BDP
BDP_204674	BDP
BDP_205030	BDP
BDP_205416	BDP
BDP_205554	BDP
BDP_205931	BDP
BDP_20612	BDP
BDP_206147	BDP
BDP_206259	BDP
BDP_207174	BDP
BDP_207412	BDP
BDP_207508	BDP
BDP_20769	BDP
BDP_208486	BDP
BDP_209534	BDP
BDP_209622	BDP
BDP_209627	BDP
BDP_211548	BDP
BDP_211832	BDP
BDP_212091	BDP
BDP_2125	BDP
BDP_212749	BDP
BDP_213182	BDP
BDP_213760	BDP
BDP_213761	BDP
BDP_213854	BDP
BDP_213881	BDP
BDP_214150	BDP
BDP_214283	BDP
BDP_214536	BDP
BDP_214671	BDP
BDP_214858	BDP
BDP_214941	BDP
BDP_215035	BDP
BDP_215617	BDP
BDP_216047	BDP
BDP_216248	BDP
BDP_216451	BDP
BDP_21776	BDP
BDP_217844	BDP
BDP_218573	BDP
BDP_219468	BDP
BDP_219676	BDP
BDP_220180	BDP
BDP_220620	BDP
BDP_22072	BDP
BDP_220763	BDP
BDP_22089	BDP
BDP_220986	BDP
BDP_221112	BDP
BDP_221225	BDP
BDP_221725	BDP
BDP_221741	BDP
BDP_221831	BDP
BDP_22205	BDP
BDP_222126	BDP
BDP_222322	BDP
BDP_222906	BDP
BDP_223017	BDP
BDP_223749	BDP
BDP_223890	BDP
BDP_224698	BDP
BDP_224781	BDP
